"Task ID","Task Name","Status","Task Content","Assignee","Priority","Latest Comment","Comment Count","Assigned Comment Count","Due Date","Start Date","Date Created","Date Updated","Date Closed","Created By","Space","Folder","List","Subtask ID's","Subtask URL's","tags","Lists","Sprints","Time Logged","Time Estimate","Points Estimate","Points Estimate Rolled Up"
"1tyget5","HW6: Customer issues","assigned","
Please read issues found by the customer, log them and update your checklist.
1. There is a wrong validation message on  'Checkout page' if Order Total > Current Balance
2. Shop page (V1)-> 'Popularity' sorting option presents only for new version and missing on Legacy.
3. Order page (admin role) -> missing 'Add order' button and 'actions' buttons on Legacy.
4. 500 server error if customer trying to view product detail page with apostrophe in the name
5. On ""Product"" page in section ""Related products"" buttons are placed partialy over the price.
6. Duplicated last crumb in breadcrumbs on 'Product category' page.
7. Checkout -> Product items with quantity more than 1 on the 'Card' page are counted as quantity equal to 1 on 'checkout'.

","[Anna Buhai]","none","",0,0,"","","Friday, November 19th 2021, 8:19:58 pm +02:00","Wednesday, December 1st 2021, 7:03:22 pm +02:00","","Tetiana Semenova","HW: Loyalty","HW6: T2021_10 Loyalty","V1","[]","[]","","[V1]","[]","","",,0
"1w8rkhn","HW9: Customer issues","assigned","Please read issues found by the customer

1. Total amount of points for order debited from balance never exceeds 65535 points.
2. 'Logout' is shown on the login page for unauthorized user

","[Anna Buhai]","none","",0,0,"","","Thursday, December 2nd 2021, 9:22:48 pm +02:00","Thursday, December 2nd 2021, 9:23:05 pm +02:00","","Tetiana Semenova","HW: Loyalty","HW6: T2021_10 Loyalty","V1","[]","[]","","[V1]","[]","","",,0
"1wee65y","Reviews from product don't delete when the Delete product review endpoint is requested","in progress","When we call the Delete product review endpoint in product we choose ID of review which we want to remove. However, when we use the delete product review endpoint we don't have permission to make a request.


Severity: Minor
Build: v1

Step to reproduce:
1. Call the Delete product review endpoint
DELETE https://qa-loyalty.teaminternational.com/v1/wp-json/wc/v2/products/362/reviews/17682
{
""force"":""true""
}
2. Auth 
Key ck_a47b79beec855b4828ca5f109816c553940dec0b
Secret cs_9cdf55f7d6d359f7d2042befd3c470126453ea3c 
Type Basic 

2. Submit a request 
Expected result: review ID 17682 by product ID 362 is successfully 
Actual result: status of request is 403 - you cannot delete this resource
","[]","NORMAL","",0,0,"","","Friday, December 3rd 2021, 10:42:41 pm +02:00","Sunday, December 5th 2021, 11:29:47 pm +02:00","","Anna Buhai","HW: Loyalty","HW6: T2021_10 Loyalty","V1 + API ","[]","[]","","[V1 + API ]","[]","","",,0
"1weh8zp","Reviews for product don't posting with 1 or 2 stars when the Create product review is request","in progress","When we call the Create product review endpoint in product we can add rating, review, name and emali. However, when we put 1 or 2 rating - rating changed to 3. 

For more information please refer to screenshot 
Severity: Minor
Build: v1

Step to reproduce:
1. Call the Create product review endpoint
POST https://qa-loyalty.teaminternational.com/v1/wp-json/wc/v2/products/362/reviews
{
""rating"":""2"",
""review"":""Vaba dab lab"",
""name"":""Rick"",
""email"":""somemail@someerver.net""
}
2. Auth 
Key ck_a47b79beec855b4828ca5f109816c553940dec0b
Secret cs_9cdf55f7d6d359f7d2042befd3c470126453ea3c 
Type Basic 

2. Submit a request 
Expected result:  Posted review with a rating of 2
Actual result: posted a review with a rating of 3
","[]","NORMAL","",0,0,"","","Sunday, December 5th 2021, 12:19:51 pm +02:00","Sunday, December 5th 2021, 11:30:02 pm +02:00","","Anna Buhai","HW: Loyalty","HW6: T2021_10 Loyalty","V1 + API ","[]","[]","","[V1 + API ]","[]","","",,0
"1wehjrk","Debiting more than 1000 points on wallet balance, it decreased only by 1000 points when Change wallet balance is request","in progress","When we call the Change wallet balance endpoint by debiting the balance must decrease in this sum. But when we change the debit balance more than 1000 points are reduced only to 1000. 

For more information please refer to screenshot - the balance before changing, the balance after changing 
Severity: Critical
Build: v1

Step to reproduce:
1. Call the Get wallet balance endpoint
GET https://qa-loyalty.teaminternational.com/v1/wp-json/wc/v2/wallet/balance/36
2. Call the Change wallet balance endpoint
POST {
""type"": ""debit"",
""amount"": ""2000"",
""details"": ""Credit 2000 points with API request""
}
3. Again call the Get wallet balance
GET https://qa-loyalty.teaminternational.com/v1/wp-json/wc/v2/wallet/balance/36
4. Auth 
Key ck_a47b79beec855b4828ca5f109816c553940dec0b
Secret cs_9cdf55f7d6d359f7d2042befd3c470126453ea3c 
Type Basic 
5. Submit a request 
Expected result: The wallet balance decreasing by 2000 points 
Actual result: The wallet balance decreased by 1000 points 

","[]","URGENT","",0,0,"","","Sunday, December 5th 2021, 1:49:34 pm +02:00","Sunday, December 5th 2021, 11:30:11 pm +02:00","","Anna Buhai","HW: Loyalty","HW6: T2021_10 Loyalty","V1 + API ","[]","[]","","[V1 + API ]","[]","","",,0
"1wej40v","Not all products returns when Get product list is requested","in progress","When we call the Get product list endpoint we expected we get all the products on the list. But now returns only 10 products.

For more information please refer to screenshot 
Severity: Minor
Build: v1

Step to reproduce:
1. Call the Get product list endpoint
GET https://qa-loyalty.teaminternational.com/v1/wp-json/wc/v2/products

2. Auth 
Key ck_a47b79beec855b4828ca5f109816c553940dec0b
Secret cs_9cdf55f7d6d359f7d2042befd3c470126453ea3c 
Type Basic 

3. Submit a request 
Expected result:  All of products is returns in this enpoints
Actual result: returns only 10 products
","[]","none","",0,0,"","","Sunday, December 5th 2021, 5:05:18 pm +02:00","Sunday, December 5th 2021, 11:30:22 pm +02:00","","Anna Buhai","HW: Loyalty","HW6: T2021_10 Loyalty","V1 + API ","[]","[]","","[V1 + API ]","[]","","",,0
"1wej5pe","The balance of player with ID 0 the same with one with ID 2 when Get wallet balance is requested","in progress","The players with ID 0 and ID 2 have the same balance and count like one person.

For more information please refer to screenshots: balance of ID 0, the balance of ID 2
Severity: Major
Build: v1

Step to reproduce:
1. Call the Get wallet balance endpoint
GET https://qa-loyalty.teaminternational.com/v1/wp-json/wc/v2/wallet/balance/0

2. Auth 
Key ck_a47b79beec855b4828ca5f109816c553940dec0b
Secret cs_9cdf55f7d6d359f7d2042befd3c470126453ea3c 
Type Basic 

3. Remember player balance
4. Get https://qa-loyalty.teaminternational.com/v1/wp-json/wc/v2/wallet/balance/2
Expected result:  The balance of players isn't the same (if product manager said said player with ID 0 exists)
OR the balance of player with ID 0 an error will occur when requesting this balance
Actual result: players with ID 0 and ID 2 have the same balance 
","[]","NORMAL","",0,0,"","","Sunday, December 5th 2021, 5:18:31 pm +02:00","Sunday, December 5th 2021, 11:30:27 pm +02:00","","Anna Buhai","HW: Loyalty","HW6: T2021_10 Loyalty","V1 + API ","[]","[]","","[V1 + API ]","[]","","",,0
"1wek30p","Orders can delete when the Delete order endpoint is requested but user must not have permission to this","in progress","When we call the Delete order endpoint we expected what only the admin can have these rights, because this can break all system. However, when we use the delete order endpoint we have permission to make a request.


Severity: Critical
Build: v1

Step to reproduce:
1. Call the Delete order endpoint
DELETE https://qa-loyalty.teaminternational.com/v1/wp-json/wc/v2/orders/7933
{
""force"":""true""
}
2. Auth 
Key ck_a47b79beec855b4828ca5f109816c553940dec0b
Secret cs_9cdf55f7d6d359f7d2042befd3c470126453ea3c 
Type Basic 

2. Submit a request 
Expected result: order must have a 403 response code - you cannot delete this resource
Actual result: status of request is 200 success and order was deleted
Attachments: success order deleting
","[]","URGENT","",0,0,"","","Sunday, December 5th 2021, 10:48:02 pm +02:00","Sunday, December 5th 2021, 11:30:37 pm +02:00","","Anna Buhai","HW: Loyalty","HW6: T2021_10 Loyalty","V1 + API ","[]","[]","","[V1 + API ]","[]","","",,0
"1vc4fbb","HW7: Customer issues","assigned","Please read issues found by the customer and log them 

Endpoint for deleting review doesn't removes reviews. Premission issue.
Users can find endpoint for deleting ordres, which is working but shouldn't. Permissions issue
When you creating new review and set rating to 1 or 2 it will always be replaced with 3.
When you debiting more than 1000 points on wallet balance, it decreased only by 1000 points.
Endpoint /wallet/balance/0 returns the same value as   /wallet/balance/2.
Endpoint   /products returns only 10 items.
New Order request tries create transactions using account for wich API keys created,   instead of defined in reuest body as customer_id.""


","[Anna Buhai]","none","The last not reproduce -  customer ID ,  links of order    ",1,0,"","","Saturday, November 27th 2021, 5:43:06 pm +02:00","Sunday, December 5th 2021, 10:38:53 pm +02:00","","Vitaliy Bogatov","HW: Loyalty","HW6: T2021_10 Loyalty","V1 + API ","[]","[]","","[V1 + API ]","[]","","",,0
"1vc4fee","HW7: Feedback","assigned","Hi,

Your project contains only 4 endpoints and by the homework you must add and test all endpoints specified in the HW.
Also, I do not see any Test Cases , assertions etc.


","[Anna Buhai]","none","",0,0,"","","Saturday, November 27th 2021, 5:44:31 pm +02:00","Friday, December 3rd 2021, 10:34:31 pm +02:00","","Vitaliy Bogatov","HW: Loyalty","HW6: T2021_10 Loyalty","V1 + API ","[]","[]","","[V1 + API ]","[]","","",,0
